FATURA REF;SATIž T˜P˜;DA¦ITIM;WEB MA¦AZA;G™NDER˜LEN EPOSTA;™DEME ZAMANI;™DEME;FATURA NO;FATURA TAR˜H˜;FATURA SENARYOSU;FATURA T˜P˜;FATURA A€IKMALAMASI;CAR˜ ADI;CAR˜ VERG˜NO;CAR˜ VERG˜ DA˜RES˜;ADRES CADDE;ADRES SOKAK;ADRES ˜L€E;ADRES ˜L;ADRES POSTA KUTUSU;SATIR 1 KOD;SATIR 1 A€IKLAMA;SATIR 1 M˜KTAR;SATIR 1 B˜R˜M;SATIR 1 B˜R˜M F˜YAT;SATIR 1 KDV ORANI;SATIR 2 KOD;SATIR 2 A€IKLAMA;SATIR 2 M˜KTAR;SATIR 2 B˜R˜M;SATIR 2 B˜R˜M F˜YAT;SATIR 2 KDV ORANI
;;ELEKTRONIK;;volkan@gyazilim.com;;KREDIKARTI;OTOMAT˜K;OTOMAT˜K;TEMEL;SATIž;A€IKLAMA 1;G YAZILIM LTD. žT˜.;65401211066;BAžKENT;SOKULLU CADDES˜;NO:8/6;€ANKAYA;ANKARA;;ALANADI;ALAN ADI BEDEL˜;1;ADET;25;18;;;;;;
;MA¦AZA;KAGIT;gyazilim.com;volkan@gyazilim.com;;BANKAKARTI;OTOMAT˜K;OTOMAT˜K;T˜CAR˜;SATIž;A€IKLAMA 2;VOLKAN GšNAYDIN;3880628557;BAžKENT;SOKULLU CADDES˜;NO:8/7;€ANKAYA;ANKARA;;H˜ZMET;H˜ZMET BEDEL˜;1;SAAT;100;18;;;;;;
;˜NTERNET;;semere.net;volkan@gyazilim.com;;EFT;OTOMAT˜K;OTOMAT˜K;TEMEL;˜ADE;A€IKLAMA 2;VOLKAN GšNAYDIN;65401211066;BAžKENT;"NOKTALI V˜RGšL GE€EN YAZIDA ; KA€Iž KARAKTER˜KULLANILIR";NO:8/7;€ANKAYA;ANKARA;;H˜ZMET;H˜ZMET BEDEL˜;1;SAAT;50;;;;;;;
1;NULL;;;volkan@gyazilim.com;;HAVALE;OTOMAT˜K;OTOMAT˜K;TEMEL;SATIž;A€IKLAMA 2;VOLKAN GšNAYDIN;65401211066;BAžKENT;SOKULLU CADDES˜;NO:8/7;€ANKAYA;ANKARA;;H˜ZMET;H˜ZMET BEDEL˜;2;;10;18;;;;;;
1;;;;volkan@gyazilim.com;;KAPIDAODEME;OTOMAT˜K;OTOMAT˜K;TEMEL;SATIž;A€IKLAMA 2;VOLKAN GšNAYDIN;65401211066;BAžKENT;SOKULLU CADDES˜;NO:8/7;€ANKAYA;ANKARA;;H˜ZMET;H˜ZMET BEDEL˜;3;;20;18;;;;;;
2;;;;volkan@gyazilim.com;;DIGER;OTOMAT˜K;OTOMAT˜K;TEMEL;SATIž;A€IKLAMA 2;G YAZILIM LTD. žT˜.;3880628557;BAžKENT;SOKULLU CADDES˜;NO:8/7;€ANKAYA;ANKARA;;H˜ZMET1;H˜ZMET BEDEL˜1;1;;11;;;;;;;
2;;;;volkan@gyazilim.com;;;OTOMAT˜K;OTOMAT˜K;TEMEL;SATIž;;;;;;;;;;H˜ZMET2;H˜ZMET BEDEL˜2;2;;12;;;;;;;
2;;;;volkan@gyazilim.com;;;OTOMAT˜K;OTOMAT˜K;TEMEL;SATIž;;;;;;;;;;H˜ZMET3;H˜ZMET BEDEL˜3;3;;13;;;;;;;
2;;;;volkan@gyazilim.com;;;OTOMAT˜K;OTOMAT˜K;TEMEL;SATIž;;;;;;;;;;H˜ZMET4;H˜ZMET BEDEL˜4;4;;14;;;;;;;
2;;;;volkan@gyazilim.com;;;;;;;;;;;;;;;;H˜ZMET5;H˜ZMET BEDEL˜5;5;;15;;;;;;;
